|---- -------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Pokemon                     | Score | Dex  | Type 1   | Type 2   | Attack | Defense | Stamina | Stat Product | Level | CP   | Fast Move              | Charged Move 1       | Charged Move 2        | Charged Move 1 Count | Charged Move 2 Count | Buddy Distance | Charged Move Cost |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Groudon                     |  95.2 |  383 | ground   | none     |  239.5 |   204.2 |     184 |      8997828 |    50 | 4652 | Mud Shot               | Precipice Blades     | Fire Punch            |                    7 |                    5 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Lugia                       |  95.2 |  249 | psychic  | flying   |  174.8 |   273.1 |     210 |     10023854 |    50 | 4186 | Dragon Tail            | Sky Attack           | Aeroblast             |                    5 |                    9 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Giratina (Altered)          |  94.8 |  487 | ghost    | dragon   |  169.7 |   201.7 |     251 |      8592214 |    50 | 3820 | Shadow Claw            | Dragon Claw          | Ancient Power         |                    5 |                    6 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Solgaleo                    |  94.1 |  791 | psychic  | steel    |  226.9 |   173.1 |     234 |      9190002 |    50 | 4570 | Fire Spin              | Psychic Fangs        | Iron Head             |                    4 |                    5 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Kyurem                      |  93.7 |  646 | dragon   | ice      |  219.3 |   155.5 |     218 |      7432544 |    50 | 4041 | Dragon Breath          | Glaciate             | Dragon Claw           |                   14 |                   12 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Lugia (Shadow)              |  93.5 |  249 | psychic  | flying   |  174.8 |   273.1 |     210 |     10023854 |    50 | 4186 | Dragon Tail            | Sky Attack           | Aeroblast             |                    5 |                    9 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Dragonite                   |  93.2 |  149 | dragon   | flying   |  233.6 |     179 |     188 |      7860515 |    50 | 4287 | Dragon Breath          | Dragon Claw          | Superpower            |                   12 |                   14 |              5 |             75000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Meloetta (Aria)             |  93.2 |  648 | normal   | psychic  |  222.7 |   201.7 |     201 |      9026553 |    50 | 4490 | Quick Attack           | Psyshock             | Dazzling Gleam        |                    6 |                    9 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Mewtwo (Shadow)             |  92.6 |  150 | psychic  | none     |  264.7 |   165.5 |     192 |      8412920 |    50 | 4724 | Psycho Cut             | Psystrike            | Shadow Ball           |                    5 |                    7 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Zacian (Hero)               |  92.3 |  888 | fairy    | none     |    226 |   210.9 |     173 |      8247852 |    50 | 4329 | Quick Attack           | Close Combat         | Play Rough            |                    6 |                    8 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Mewtwo                      |  91.8 |  150 | psychic  | none     |  264.7 |   165.5 |     192 |      8412920 |    50 | 4724 | Psycho Cut             | Psystrike            | Shadow Ball           |                    5 |                    7 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Rayquaza                    |  91.7 |  384 | dragon   | flying   |  251.2 |   155.5 |     191 |      7460107 |    50 | 4336 | Dragon Tail            | Breaking Swipe       | Hurricane             |                    4 |                    8 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Giratina (Origin)           |  91.2 |  487 | ghost    | dragon   |  201.7 |   169.7 |     251 |      8592214 |    50 | 4164 | Shadow Claw            | Shadow Ball          | Ominous Wind          |                    7 |                    6 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Yveltal                     |  91.1 |  717 | dark     | flying   |  222.7 |   168.1 |     219 |      8195751 |    50 | 4275 | Snarl                  | Dark Pulse           | Focus Blast           |                    4 |                    6 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Gyarados (Shadow)           |    91 |  130 | water    | flying   |  211.8 |   168.9 |     194 |      6938524 |    50 | 3834 | Dragon Breath          | Aqua Tail            | Crunch                |                   12 |                   15 |              1 |             10000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Zekrom                      |  90.8 |  644 | dragon   | electric |  243.7 |   189.9 |     184 |      8515164 |    50 | 4565 | Dragon Breath          | Crunch               | Wild Charge           |                   15 |                   15 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Florges                     |  90.7 |  671 | fairy    | none     |  190.7 |   217.6 |     168 |      6974349 |    50 | 3657 | Fairy Wind             | Disarming Voice      | Moonblast             |                    5 |                    7 |              3 |             50000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Xerneas                     |  90.2 |  716 | fairy    | none     |  222.7 |   168.1 |     219 |      8195751 |    50 | 4275 | Tackle                 | Close Combat         | Moonblast             |                   15 |                   20 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Gyarados                    |    90 |  130 | water    | flying   |  211.8 |   168.9 |     194 |      6938524 |    50 | 3834 | Dragon Breath          | Aqua Tail            | Crunch                |                   12 |                   15 |              1 |             10000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Reshiram                    |  89.8 |  643 | dragon   | fire     |  243.7 |   189.9 |     184 |      8515164 |    50 | 4565 | Dragon Breath          | Fusion Flare         | Draco Meteor          |                   15 |                   22 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Melmetal                    |  89.7 |  809 | steel    | none     |  202.5 |   172.3 |     234 |      8163107 |    50 | 4069 | Thunder Shock          | Superpower           | Double Iron Bash      |                    5 |                    4 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Dragonite (Shadow)          |    89 |  149 | dragon   | flying   |  233.6 |     179 |     188 |      7860515 |    50 | 4287 | Dragon Tail            | Dragon Claw          | Superpower            |                    4 |                    5 |              5 |             75000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Mamoswine                   |  88.8 |  473 | ice      | ground   |  220.2 |   135.3 |     215 |      6403750 |    50 | 3763 | Powder Snow            | Avalanche            | High Horsepower       |                    6 |                    8 |              3 |             50000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Palkia                      |  88.4 |  484 | water    | dragon   |  247.9 |   193.3 |     171 |      8192467 |    50 | 4512 | Dragon Tail            | Aqua Tail            | Draco Meteor          |                    4 |                    8 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Zarude                      |  88.3 |  893 | dark     | grass    |    216 |   193.3 |     208 |      8681466 |    50 | 4334 | Vine Whip              | Dark Pulse           | Power Whip            |                    7 |                    7 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Ho-Oh                       |  88.1 |  250 | fire     | flying   |  213.4 |   217.6 |     192 |      8918739 |    50 | 4367 | Incinerate             | Brave Bird           | Sacred Fire           |                    3 |                    4 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Dialga                      |  87.8 |  483 | steel    | dragon   |  243.7 |   189.9 |     184 |      8515164 |    50 | 4565 | Dragon Breath          | Iron Head            | Draco Meteor          |                   17 |                   22 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Kyogre                      |  87.5 |  382 | water    | none     |  239.5 |   204.2 |     184 |      8997828 |    50 | 4652 | Waterfall              | Surf                 | Origin Pulse          |                    5 |                    8 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Genesect (Chill)            |  87.4 |  649 | bug      | steel    |  224.4 |   179.8 |     158 |      6374570 |    50 | 3791 | Fury Cutter            | Magnet Bomb          | Techno Blast (Chill)  |                   12 |                   14 |             20 |            100000 |
|-----------------------------|-------|------|----------|----------|--------|---------|---------|--------------|-------|------|------------------------|----------------------|-----------------------|----------------------|----------------------|----------------|-------------------|
| Ho-Oh (Shadow)              |  87.4 |  250 | fire     | flying   |  213.4 |   217.6 |     192 |      8918739 |    50 | 4367 | Incinerate             | Brave Bird           | Sacred Fire           |                    3 |                    4 |             20 |            100000 |
